Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Rate,0.0025379914127533704,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.7979870710967225,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.0031704084376787743,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,4231.400072519145,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,4816208.0,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,2440214.750079672,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0008785750267677695,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.5066672265981187,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.001731026094502306,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.3266200086805556,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,20643.634588947018,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,2644248.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,2678984.7355048554,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.007806996389501672,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,1.0131367161873075,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.007646843105382584,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.17932454427083333,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,37424.0885746435,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,14745408.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,11766642.442861248,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0025380164844976483,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.7979869016076901,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
