Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,0.7412148816300463,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Ratio,0.021877307056950335,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Total Resource Shared,55903.438881050926,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Incidence,2829344.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Total Source Stockpile,2377019.139793328,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Rate,0.0197584453785227,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Mean Source Stockpile,0.8401308359087223,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Ratio,0.022977894722614196,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Frequency,0.19187800294272112,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Total Resource Shared,136265.19298939462,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Incidence,5658688.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Total Source Stockpile,5116436.451569273,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Rate,0.024080704394621972,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Mean Source Stockpile,0.9041736267433852,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Ratio,0.02594192516731904,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Frequency,0.38375600588544223,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
